Stay    ;BodyType ;AircraftType ;Towable ;Arr_OwnerCie ;Arr_ExploitingCie ;Arr_Number ;Arr_Date   ;Arr_Hour ;Arr_CourrierCode ;Arr_Stop ;Dep_OwnerCie ;Dep_ExploitingCie ;Dep_Number ;Dep_Date   ;Dep_Hour ;Dep_CourrierCode ;Dep_Stop
2309512;MP       ;320;0;AF           ;AF                ;1555;23/06/2016;13:15;MC               ;ALG      ;-            ;-                 ;0;23/06/2016;14:15;-                ;-
2309513;MP       ;319;0;AF           ;AF                ;1179;23/06/2016;15:05;MC               ;NAP      ;-            ;-                 ;0;23/06/2016;16:05;-                ;-
2311090;MP       ;320;1;AF           ;AF                ;1313;23/06/2016;22:10;MC               ;LIN      ;AF           ;AF                ;7660;24/06/2016;07:20;MC               ;MRS
2311119;MP       ;318;1;AF           ;AF                ;7685;23/06/2016;22:10;MC               ;MPL      ;AF           ;AF                ;7700;24/06/2016;07:15;MC               ;NCE
2310576;3N       ;E90          ;0;A5           ;AF                ;1719;22/06/2016;22:05;MC               ;FRA      ;A5           ;AF                ;1518;23/06/2016;07:30;MC               ;FRA
2310577;3N       ;E70          ;0;A5           ;AF                ;7755;23/06/2016;15:45;MC               ;CFE      ;A5           ;AF                ;1524;23/06/2016;16:25;MC               ;BRE
2310578;MP       ;319;0;AF           ;AF                ;1727;23/06/2016;16:50;MC               ;VCE      ;AF           ;AF                ;1526;23/06/2016;18:05;MC               ;VCE
2310581;MP       ;321;0;AF           ;AF                ;1005;23/06/2016;08:50;MC               ;FCO      ;AF           ;AF                ;1504;23/06/2016;09:45;MC               ;FCO
2310583;3N       ;E90          ;0;A5           ;AF                ;7537;23/06/2016;12:15;MC               ;PUF      ;A5           ;AF                ;1506;23/06/2016;12:55;MC               ;DUS
2310585;MP       ;318;0;AF           ;AF                ;1713;23/06/2016;18:40;MC               ;LIN      ;AF           ;AF                ;1512;23/06/2016;19:50;MC               ;LIN
2310586;3N       ;E90          ;0;A5           ;AF                ;1607;23/06/2016;13:20;MC               ;DUS      ;A5           ;AF                ;1576;23/06/2016;16:20;MC               ;BIO
2310587;MP       ;318;0;AF           ;AF                ;7689;23/06/2016;12:20;MC               ;MPL      ;AF           ;AF                ;1566;23/06/2016;13:10;MC               ;FLR
2310589;MP       ;318;0;AF           ;AF                ;1057;23/06/2016;11:50;MC               ;GLA      ;AF           ;AF                ;1560;23/06/2016;13:00;MC               ;ZAG
2310590;MP       ;319;0;AF           ;AF                ;1753;23/06/2016;17:30;MC               ;KBP      ;AF           ;AF                ;1564;23/06/2016;18:45;MC               ;BHX
2310592;MP       ;318;0;AF           ;AF                ;1815;23/06/2016;19:30;MC               ;ZRH      ;AF           ;AF                ;1578;23/06/2016;20:35;MC               ;NAP
2310593;MP       ;318;1;AF           ;AF                ;1049;22/06/2016;21:20;MC               ;BCN      ;AF           ;AF                ;1542;23/06/2016;07:15;MC               ;GVA
2310594;MP       ;321;0;AF           ;AF                ;7625;23/06/2016;12:05;MC               ;BOD      ;AF           ;AF                ;1534;23/06/2016;13:00;MC               ;TXL
2310595;MP       ;320;1;AF           ;AF                ;1621;22/06/2016;21:40;MC               ;TLV      ;AF           ;AF                ;1554;23/06/2016;07:20;MC               ;ALG
2310596;MP       ;320;0;AF           ;AF                ;1135;23/06/2016;08:50;MC               ;TXL      ;AF           ;AF                ;1532;23/06/2016;09:50;MC               ;ATH
2310597;3N       ;E90          ;0;A5           ;AF                ;1375;23/06/2016;19:10;MC               ;OSL      ;A5           ;AF                ;1552;23/06/2016;19:55;MC               ;GOT
2310598;MP       ;319;0;AF           ;AF                ;1233;23/06/2016;14:40;MC               ;ATH      ;AF           ;AF                ;1548;23/06/2016;15:30;MC               ;BCN
2310599;MP       ;320;0;AF           ;AF                ;1125;23/06/2016;09:30;MC               ;LIS      ;AF           ;AF                ;1426;23/06/2016;10:25;MC               ;VCE
2310600;MP       ;318;1;AF           ;AF                ;7715;22/06/2016;22:15;MC               ;NCE      ;AF           ;AF                ;1434;23/06/2016;07:35;MC               ;TXL
2310601;MP       ;318;0;AF           ;AF                ;7649;23/06/2016;20:10;MC               ;LYS      ;AF           ;AF                ;1414;23/06/2016;21:10;MC               ;ZRH
2310602;3N       ;E90          ;0;A5           ;AF                ;1775;23/06/2016;15:05;MC               ;OSL      ;A5           ;AF                ;1406;23/06/2016;15:45;MC               ;DUS
2310604;MP       ;319;0;AF           ;AF                ;7681;23/06/2016;07:50;MC               ;MPL      ;AF           ;AF                ;1410;23/06/2016;08:35;MC               ;HAM
2310605;3N       ;E70          ;0;A5           ;AF                ;1811;23/06/2016;20:00;MC               ;NUE      ;A5           ;AF                ;1416;23/06/2016;20:50;MC               ;GOA
2310606;MP       ;318;1;AF           ;AF                ;1239;22/06/2016;22:15;MC               ;VIE      ;AF           ;AF                ;1422;23/06/2016;07:20;MC               ;MUC
